순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
71,2021-07-16,SiLA - Siberian Light Aviation,Antonov An-28,ENR,19,0,"SiLA - Siberian Light Aviation 소속 Antonov An-28 항공기가 러시아 Kedrovo 지역 인근으로 불시착 하여 기체가 전복되었으나, 인명피해 없음."
72,2021-07-17,GoSkydive,Cessna 208B Supervan 900,LDG,1,0,"GoSkydive 소속 Cessna 208B Supervan 900 항공기가 영국 Old Sarum 비행장 근처 들판에 착륙하여 기체가 심하게 손상되었으나, 인명피해 없음."
73,2021-07-21,Skyward Express,de Havilland Canada DHC-8-106,LDG,41,0,"Skyward Express 소속 de Havilland Canada DHC-8-106 항공기가 소말리아 Burahache 비행장 착륙 중 활주로 측면 바위에 충돌하였으나, 인명피해 없음."
74,2021-07-21,PV Transport Inc,Cessna 560XL Citation Excel,LDG,9,0,"PV Transport Inc 소속 Cessna 560XL Citation Excel 항공기가 미국 Reading Regional 공항 착륙 시 활주로를 이탈하여 기체가 손상되었으나, 인명피해 없음."
75,2021-07-26,Skydive Binz,Cessna 208 Supervan,APR,1,0,"Skydive Binz 소속 Cessna 208 Supervan 항공기가 독일 Norderne 비행장 근처 해상에 충돌하여 기체가 파손되어, 조종사는 심각한 부상을 입음."
76,2021-07-26,Tarco Aircraft Funding LLC,Bombardier CL-600-2B16 Challenger 605,APR,6,0,Tarco Aircraft Funding LLC 소속 Bombardier CL-600-2B16 Challenger 605 항공기가 미국 Truckee 공항으로 접근 중 숲 지형에 충돌하여 탑승객 전원 심각한 부상을 입음.
77,2021-07-27,Abyssinian Flight Services,Cessna 208B Grand Caravan,ENR,4,0,"Abyssinian Flight Services 소속 Cessna 208B Grand Caravan 항공기가 에티오피아 Kombolcha 인근 불시착하여 기체가 손상되었으나, 인명피해 없음."
78,2021-08-14,Russian Navy,Beriev Be-200ChS,MNV,8,8,Russian Navy 소속 Beriev Be-200ChS 수륙양용 소방기가 터키 Kahramanmaras 지역 산불진화 중 출돌로 인해 탑승자 8명 전원 사망함.
79,2021-08-17,United Aircraft Corporation,Ilyushin Il-112V,APR,3,3,"United Aircraft Corporation 소속 Ilyushin Il-112V 항공기가 러시아 Kubinka AFB 지역 인근 숲에 추락하여, 탑승자 3명 전원 사망함."
80,2021-08-21,SN 1124 LLC,Gulfstream G-IV,TOF,14,0,"SN 1124 LLC 소속 Gulfstream G-IV 항공기가 미국 Fort Lauderdale-Executive 공항에서 이륙 중 활주로를 이탈하여 기체가 손상되었으나, 인명피해 없음."
