epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5958,0.85616,2.25117,1.07428,0.84175,0.86235,0.91644,0.74388,0.69525,0.80274,0.97504,0.00332883,0.00332883,0.00332883
2,129.344,0.76165,1.16257,1.01067,0.92754,0.90338,0.9544,0.79264,0.65906,0.64525,0.95936,0.00659621,0.00659621,0.00659621
3,190.261,0.8099,0.9514,1.03577,0.89659,0.87989,0.94797,0.77765,0.71515,0.65954,0.99197,0.00979758,0.00979758,0.00979758
4,250.94,0.81732,0.82928,1.04174,0.92853,0.92536,0.96576,0.80908,0.66234,0.55331,0.97331,0.009703,0.009703,0.009703
5,311.952,0.78221,0.70878,1.02784,0.93444,0.94535,0.97457,0.82252,0.64348,0.49559,0.96125,0.009604,0.009604,0.009604
6,374.59,0.75421,0.65514,1.01713,0.9512,0.91818,0.97718,0.84113,0.61281,0.46919,0.9438,0.009505,0.009505,0.009505
7,442.817,0.72651,0.61757,1.00687,0.95926,0.94368,0.9848,0.85773,0.56991,0.41575,0.9335,0.009406,0.009406,0.009406
8,560.916,0.71088,0.58887,1.00241,0.9579,0.94031,0.98132,0.85367,0.58636,0.44492,0.93065,0.009307,0.009307,0.009307
9,630.237,0.69415,0.56453,0.99396,0.94554,0.95577,0.98302,0.85672,0.57596,0.41425,0.92728,0.009208,0.009208,0.009208
10,695.265,0.68059,0.54262,0.98761,0.96971,0.95339,0.98554,0.86272,0.55879,0.38557,0.92037,0.009109,0.009109,0.009109
11,773.901,0.67284,0.53477,0.98695,0.96093,0.95753,0.98762,0.87557,0.54051,0.37607,0.91899,0.00901,0.00901,0.00901
12,853.232,0.66532,0.52084,0.98308,0.9662,0.96019,0.98741,0.88023,0.53072,0.36978,0.91612,0.008911,0.008911,0.008911
13,925.761,0.65437,0.51025,0.97798,0.95933,0.97045,0.98907,0.88131,0.52114,0.35331,0.90958,0.008812,0.008812,0.008812
14,1018.92,0.64403,0.4947,0.97758,0.96326,0.96636,0.98824,0.88628,0.50696,0.34305,0.90403,0.008713,0.008713,0.008713
15,1085.36,0.63824,0.49341,0.97512,0.97415,0.96631,0.98989,0.88977,0.5109,0.34364,0.90299,0.008614,0.008614,0.008614
16,1156.1,0.63593,0.48154,0.97254,0.97221,0.96164,0.989,0.89306,0.50834,0.33162,0.90244,0.008515,0.008515,0.008515
17,1225.61,0.62547,0.47517,0.96977,0.97223,0.96395,0.98892,0.89107,0.49458,0.32813,0.8952,0.008416,0.008416,0.008416
18,1290.76,0.61903,0.46629,0.96637,0.96896,0.97507,0.99146,0.89609,0.49471,0.31805,0.897,0.008317,0.008317,0.008317
19,1355.46,0.61533,0.45141,0.96736,0.97882,0.96177,0.9915,0.89655,0.49451,0.31184,0.90054,0.008218,0.008218,0.008218
