epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.543,0.75018,1.96796,0.97526,0.87339,0.85738,0.92848,0.77344,0.65405,0.73383,0.87893,0.000302601,0.000302601,0.000302601
2,173.681,0.68156,0.80678,0.93643,0.89565,0.85752,0.94009,0.77968,0.66155,0.63924,0.89992,0.000545647,0.000545647,0.000545647
3,234.468,0.66521,0.61099,0.93067,0.92722,0.91143,0.96589,0.81599,0.6266,0.5138,0.87477,0.000728698,0.000728698,0.000728698
4,296.024,0.62868,0.52714,0.91709,0.94431,0.90978,0.96193,0.83258,0.5737,0.45291,0.8613,0.000639027,0.000639027,0.000639027
5,356.53,0.58852,0.45541,0.90715,0.96243,0.93533,0.97969,0.86273,0.54196,0.39794,0.85222,0.000549036,0.000549036,0.000549036
6,421.331,0.55952,0.40888,0.89388,0.9609,0.95172,0.98408,0.87092,0.54558,0.36953,0.84793,0.000459045,0.000459045,0.000459045
7,488.73,0.5251,0.3742,0.88394,0.96458,0.95118,0.98353,0.88453,0.4872,0.3341,0.83496,0.000369054,0.000369054,0.000369054
8,553.516,0.49733,0.34433,0.87503,0.96198,0.96484,0.98666,0.8967,0.46973,0.30745,0.82929,0.000279063,0.000279063,0.000279063
9,612.914,0.4745,0.32095,0.86602,0.96459,0.96175,0.98722,0.90532,0.4537,0.29567,0.82499,0.000189072,0.000189072,0.000189072
10,671.307,0.44878,0.29419,0.85952,0.97055,0.96414,0.98856,0.91121,0.43792,0.27721,0.81719,9.9081e-05,9.9081e-05,9.9081e-05
