epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0474,0.81712,2.05253,1.00887,0.86251,0.89429,0.93759,0.79703,0.59759,0.70737,0.85687,0.00332918,0.00332918,0.00332918
2,130.627,0.74878,1.04278,0.96833,0.91226,0.89389,0.95367,0.80456,0.61522,0.59305,0.8797,0.00664932,0.00664932,0.00664932
3,191.48,0.78106,0.86084,0.98862,0.92443,0.91409,0.96105,0.80412,0.63982,0.55604,0.90206,0.00995627,0.00995627,0.00995627
4,252.901,0.80123,0.75473,1.00152,0.92156,0.90958,0.96884,0.80626,0.64554,0.53834,0.90269,0.0099406,0.0099406,0.0099406
5,314.491,0.75587,0.65501,0.9874,0.94589,0.94374,0.97642,0.84638,0.5931,0.43356,0.88052,0.0099208,0.0099208,0.0099208
6,375.052,0.72923,0.60481,0.98175,0.95003,0.93739,0.97696,0.8502,0.5704,0.42604,0.88698,0.009901,0.009901,0.009901
7,435.801,0.70352,0.56339,0.97436,0.9537,0.93543,0.9777,0.85492,0.55451,0.40566,0.87472,0.0098812,0.0098812,0.0098812
8,496.431,0.68848,0.54176,0.96718,0.96071,0.95166,0.983,0.86335,0.54294,0.36856,0.87164,0.0098614,0.0098614,0.0098614
9,557.982,0.67177,0.51846,0.96359,0.95521,0.95605,0.98018,0.86757,0.53847,0.3689,0.87298,0.0098416,0.0098416,0.0098416
10,618.69,0.65704,0.50717,0.95838,0.97346,0.95105,0.98498,0.87304,0.52362,0.34058,0.86551,0.0098218,0.0098218,0.0098218
11,679.26,0.65467,0.4953,0.9587,0.97046,0.96529,0.98791,0.88775,0.49771,0.32651,0.85528,0.009802,0.009802,0.009802
12,740.549,0.64562,0.47924,0.95669,0.95478,0.95323,0.98461,0.88343,0.49899,0.33962,0.85489,0.0097822,0.0097822,0.0097822
13,801.807,0.63974,0.47452,0.9546,0.96158,0.95346,0.98488,0.88076,0.5029,0.32988,0.85555,0.0097624,0.0097624,0.0097624
14,863.456,0.62808,0.4642,0.95075,0.96602,0.96547,0.98761,0.89526,0.48348,0.31073,0.85442,0.0097426,0.0097426,0.0097426
15,925.149,0.62007,0.45374,0.94517,0.95886,0.96764,0.98802,0.89423,0.4834,0.30951,0.84705,0.0097228,0.0097228,0.0097228
