epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6238,0.81712,2.05253,1.00887,0.86251,0.89429,0.93759,0.79703,0.59759,0.70737,0.85687,0.00332918,0.00332918,0.00332918
2,129.913,0.74651,1.04003,0.96765,0.90664,0.89661,0.95886,0.81582,0.58696,0.59457,0.86072,0.00659656,0.00659656,0.00659656
3,192.071,0.7803,0.85727,0.98716,0.88557,0.83125,0.91432,0.7434,0.69741,0.7383,0.91545,0.00979793,0.00979793,0.00979793
4,251.683,0.79734,0.75722,1.00158,0.90072,0.86318,0.95171,0.80219,0.66237,0.63174,0.91211,0.009703,0.009703,0.009703
5,311.484,0.74926,0.65061,0.98618,0.95195,0.9261,0.97055,0.8326,0.59417,0.46217,0.88321,0.009604,0.009604,0.009604
6,371.505,0.72598,0.59663,0.97841,0.93805,0.9362,0.97859,0.85002,0.57778,0.42466,0.88319,0.009505,0.009505,0.009505
7,431.59,0.69962,0.56326,0.97182,0.95993,0.95497,0.98277,0.86539,0.54623,0.3815,0.87181,0.009406,0.009406,0.009406
8,491.607,0.68075,0.53416,0.9626,0.96548,0.9486,0.98472,0.87252,0.53376,0.36064,0.86696,0.009307,0.009307,0.009307
9,551.202,0.66893,0.51235,0.96105,0.95914,0.95163,0.98349,0.87414,0.52642,0.35677,0.86133,0.009208,0.009208,0.009208
10,611.095,0.65033,0.4954,0.95282,0.96761,0.96457,0.98676,0.88757,0.50214,0.32916,0.85743,0.009109,0.009109,0.009109
11,670.871,0.64914,0.4885,0.95474,0.95527,0.96014,0.98312,0.8864,0.4909,0.33277,0.85572,0.00901,0.00901,0.00901
12,730.858,0.63812,0.47284,0.95156,0.96784,0.96247,0.98763,0.88948,0.49594,0.32554,0.85905,0.008911,0.008911,0.008911
13,791.282,0.63498,0.46775,0.95128,0.96513,0.95748,0.98761,0.88828,0.49292,0.31899,0.8545,0.008812,0.008812,0.008812
14,851.791,0.62253,0.45333,0.94453,0.96868,0.9679,0.988,0.89036,0.49142,0.31353,0.8589,0.008713,0.008713,0.008713
15,912.311,0.61442,0.44743,0.94055,0.97471,0.96458,0.98925,0.89697,0.48512,0.30191,0.85148,0.008614,0.008614,0.008614
16,972.843,0.60556,0.43569,0.9421,0.96637,0.96646,0.9874,0.89642,0.4783,0.29506,0.85446,0.008515,0.008515,0.008515
17,1033.52,0.6063,0.43526,0.93853,0.96863,0.97233,0.9889,0.90197,0.47269,0.28661,0.85074,0.008416,0.008416,0.008416
18,1094.25,0.59756,0.4248,0.93709,0.97415,0.96735,0.98984,0.90169,0.47089,0.28444,0.84712,0.008317,0.008317,0.008317
19,1154.48,0.59139,0.41925,0.93313,0.97361,0.96711,0.99049,0.9032,0.46429,0.27508,0.8495,0.008218,0.008218,0.008218
20,1214.61,0.59249,0.41918,0.93687,0.97586,0.97021,0.9902,0.90751,0.46123,0.27904,0.84743,0.008119,0.008119,0.008119
21,1274.64,0.5867,0.4103,0.93232,0.97664,0.96912,0.99078,0.90935,0.45444,0.26853,0.83921,0.00802,0.00802,0.00802
22,1335.05,0.57752,0.40368,0.92779,0.97418,0.97152,0.99049,0.90874,0.45145,0.26662,0.84003,0.007921,0.007921,0.007921
23,1395.29,0.57418,0.3996,0.92657,0.97774,0.96898,0.98978,0.90904,0.45419,0.26413,0.84893,0.007822,0.007822,0.007822
24,1455.37,0.57299,0.39667,0.92577,0.97555,0.96754,0.99034,0.91153,0.4452,0.26275,0.84488,0.007723,0.007723,0.007723
25,1515.75,0.57389,0.3959,0.92734,0.97403,0.97272,0.99015,0.90977,0.44483,0.25527,0.83898,0.007624,0.007624,0.007624
26,1576.22,0.56367,0.38523,0.92283,0.97692,0.96842,0.99109,0.91464,0.43917,0.2565,0.83878,0.007525,0.007525,0.007525
27,1636.76,0.56665,0.38879,0.92683,0.97838,0.97345,0.99102,0.91309,0.43966,0.25799,0.83993,0.007426,0.007426,0.007426
28,1697.65,0.56074,0.38448,0.92458,0.97672,0.97065,0.99122,0.91695,0.43347,0.25016,0.84348,0.007327,0.007327,0.007327
29,1758.2,0.55819,0.38176,0.92524,0.98176,0.97306,0.99019,0.91646,0.42936,0.24792,0.83237,0.007228,0.007228,0.007228
30,1818.87,0.55584,0.37779,0.92043,0.9757,0.97418,0.99051,0.92088,0.42262,0.24606,0.83296,0.007129,0.007129,0.007129
31,1879.71,0.54871,0.3753,0.91672,0.97504,0.97709,0.99133,0.92163,0.42216,0.24127,0.8295,0.00703,0.00703,0.00703
32,1940.05,0.5474,0.37097,0.91521,0.97635,0.97672,0.99139,0.92055,0.42154,0.24024,0.82799,0.006931,0.006931,0.006931
33,2000.33,0.54839,0.36855,0.91696,0.9789,0.97361,0.99131,0.92237,0.42291,0.23772,0.83508,0.006832,0.006832,0.006832
34,2061.19,0.54604,0.37126,0.91942,0.97892,0.97097,0.99114,0.92308,0.41737,0.23775,0.83306,0.006733,0.006733,0.006733
35,2121.74,0.54303,0.3661,0.9165,0.97885,0.97434,0.99138,0.92425,0.42007,0.23211,0.82955,0.006634,0.006634,0.006634
36,2181.7,0.53709,0.35811,0.91505,0.98054,0.97545,0.99157,0.92408,0.41897,0.23255,0.83366,0.006535,0.006535,0.006535
37,2242.15,0.54019,0.35928,0.91752,0.97622,0.97649,0.99106,0.92518,0.41716,0.23141,0.82897,0.006436,0.006436,0.006436
38,2302.95,0.53867,0.36069,0.91367,0.97839,0.97699,0.99138,0.92453,0.41632,0.23173,0.83034,0.006337,0.006337,0.006337
39,2363,0.53626,0.3564,0.91457,0.9784,0.97456,0.99114,0.92681,0.41316,0.2325,0.82986,0.006238,0.006238,0.006238
40,2423.2,0.5319,0.3525,0.91291,0.98117,0.97233,0.9916,0.92502,0.4127,0.22915,0.83116,0.006139,0.006139,0.006139
41,2484.17,0.53036,0.35096,0.91241,0.98131,0.97397,0.99133,0.92549,0.4128,0.22851,0.83025,0.00604,0.00604,0.00604
42,2545.11,0.52764,0.34952,0.91005,0.97911,0.97771,0.99135,0.92745,0.41155,0.22671,0.82923,0.005941,0.005941,0.005941
43,2605.21,0.52207,0.34676,0.90657,0.97894,0.97777,0.99177,0.92912,0.4071,0.2234,0.82671,0.005842,0.005842,0.005842
44,2666.03,0.52336,0.34607,0.90966,0.97785,0.97406,0.99158,0.92829,0.40761,0.22428,0.82926,0.005743,0.005743,0.005743
45,2726.26,0.51754,0.34164,0.90413,0.97732,0.97668,0.99153,0.92844,0.40745,0.22209,0.82514,0.005644,0.005644,0.005644
46,2786.69,0.51519,0.33694,0.90781,0.97992,0.97559,0.99133,0.92912,0.40831,0.22081,0.82852,0.005545,0.005545,0.005545
47,2847.12,0.5227,0.34161,0.9094,0.97913,0.97543,0.99178,0.93016,0.40507,0.22073,0.82677,0.005446,0.005446,0.005446
48,2907.76,0.51791,0.33675,0.90631,0.98035,0.97336,0.99185,0.93058,0.40459,0.21867,0.82657,0.005347,0.005347,0.005347
49,2968.31,0.51011,0.33083,0.90476,0.97925,0.97308,0.9919,0.93046,0.40477,0.21892,0.82879,0.005248,0.005248,0.005248
50,3028.61,0.50827,0.33242,0.90432,0.97684,0.97746,0.9919,0.93022,0.40409,0.21757,0.8289,0.005149,0.005149,0.005149
51,3089.3,0.50671,0.33026,0.89941,0.97703,0.97772,0.99153,0.93095,0.4032,0.21703,0.82484,0.00505,0.00505,0.00505
52,3149.65,0.50833,0.32806,0.90063,0.97819,0.97588,0.99161,0.93049,0.4023,0.21682,0.8256,0.004951,0.004951,0.004951
53,3209.91,0.50163,0.3224,0.89793,0.97941,0.9752,0.99158,0.93167,0.39849,0.21351,0.82392,0.004852,0.004852,0.004852
54,3270.02,0.50336,0.32484,0.8999,0.97699,0.97832,0.99167,0.93217,0.39722,0.21041,0.82349,0.004753,0.004753,0.004753
55,3330.71,0.50349,0.32406,0.90043,0.97643,0.97883,0.99184,0.93195,0.39801,0.21047,0.82322,0.004654,0.004654,0.004654
56,3391.25,0.49659,0.32177,0.89653,0.98318,0.97332,0.99206,0.93207,0.39766,0.21071,0.82274,0.004555,0.004555,0.004555
57,3451.61,0.49465,0.31718,0.89705,0.97947,0.97697,0.99182,0.93214,0.39778,0.20874,0.8235,0.004456,0.004456,0.004456
58,3512.38,0.4932,0.31593,0.89645,0.98087,0.97565,0.99179,0.93289,0.39626,0.20812,0.823,0.004357,0.004357,0.004357
59,3572.89,0.48916,0.31403,0.896,0.97814,0.97811,0.99207,0.93398,0.39511,0.20727,0.82282,0.004258,0.004258,0.004258
60,3633.11,0.49001,0.31692,0.89823,0.97611,0.97878,0.99196,0.93359,0.39479,0.20771,0.82382,0.004159,0.004159,0.004159
61,3693.24,0.48539,0.31337,0.89435,0.98244,0.97394,0.99192,0.93418,0.39413,0.20697,0.8238,0.00406,0.00406,0.00406
62,3754.08,0.48413,0.30893,0.89088,0.98473,0.97181,0.99192,0.93403,0.39499,0.20718,0.82277,0.003961,0.003961,0.003961
63,3814.5,0.48604,0.31191,0.89339,0.98333,0.97261,0.99179,0.93385,0.39513,0.20784,0.82209,0.003862,0.003862,0.003862
64,3874.74,0.47565,0.30358,0.88863,0.98313,0.97407,0.99173,0.93458,0.39452,0.20706,0.82127,0.003763,0.003763,0.003763
65,3935.3,0.47935,0.30699,0.89257,0.98265,0.97452,0.99191,0.93441,0.39338,0.20659,0.82103,0.003664,0.003664,0.003664
66,3996.25,0.48035,0.30422,0.8926,0.98308,0.97384,0.99189,0.93495,0.39246,0.20633,0.82181,0.003565,0.003565,0.003565
67,4056.31,0.4811,0.30163,0.89094,0.98256,0.97449,0.9918,0.93518,0.39218,0.20614,0.8217,0.003466,0.003466,0.003466
68,4117.18,0.47473,0.30044,0.88958,0.98138,0.9763,0.99185,0.93524,0.39131,0.20565,0.82113,0.003367,0.003367,0.003367
69,4177.82,0.47063,0.29725,0.89024,0.98179,0.97607,0.99187,0.93551,0.39127,0.20486,0.82117,0.003268,0.003268,0.003268
70,4238.36,0.47107,0.29236,0.88779,0.98303,0.97567,0.9918,0.93586,0.39062,0.20448,0.82066,0.003169,0.003169,0.003169
71,4299.69,0.46607,0.29171,0.8888,0.9841,0.97463,0.99161,0.93631,0.3904,0.20407,0.82095,0.00307,0.00307,0.00307
72,4360.61,0.46494,0.29544,0.88674,0.98419,0.97362,0.99174,0.93599,0.3897,0.20388,0.8209,0.002971,0.002971,0.002971
73,4420.9,0.46304,0.29023,0.8843,0.98411,0.97401,0.99164,0.93601,0.38946,0.20412,0.82075,0.002872,0.002872,0.002872
74,4481.94,0.45977,0.28731,0.88575,0.98453,0.97374,0.99171,0.93646,0.38908,0.20357,0.82064,0.002773,0.002773,0.002773
75,4542.19,0.46144,0.28507,0.88627,0.9848,0.97386,0.99182,0.9367,0.38873,0.20321,0.82056,0.002674,0.002674,0.002674
