epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.038,0.75254,1.43483,1.0341,0.90518,0.92607,0.94398,0.81761,0.55735,0.43636,0.86999,0.00332883,0.00332883,0.00332883
2,257.798,0.65362,0.57724,0.96605,0.93698,0.93844,0.97593,0.83909,0.58313,0.439,0.90046,0.00659621,0.00659621,0.00659621
3,382.671,0.71523,0.61869,0.99968,0.94025,0.92125,0.96848,0.81958,0.61533,0.4585,0.92041,0.00979758,0.00979758,0.00979758
4,507.365,0.74228,0.63949,1.0108,0.93692,0.92682,0.96746,0.82189,0.61397,0.46721,0.91216,0.009703,0.009703,0.009703
5,632.952,0.71053,0.58431,1.00113,0.95303,0.95163,0.9789,0.85083,0.56731,0.40987,0.90003,0.009604,0.009604,0.009604
6,758.325,0.68296,0.53833,0.98794,0.96076,0.95726,0.98549,0.87137,0.53754,0.36394,0.89476,0.009505,0.009505,0.009505
7,884.592,0.65729,0.50771,0.98024,0.96433,0.95325,0.98603,0.8716,0.53461,0.37171,0.88441,0.009406,0.009406,0.009406
8,1009.86,0.64253,0.49131,0.97338,0.96979,0.96128,0.98713,0.87205,0.53121,0.35075,0.89209,0.009307,0.009307,0.009307
9,1134.93,0.62798,0.47277,0.97261,0.96695,0.96198,0.98775,0.88542,0.50532,0.33233,0.89344,0.009208,0.009208,0.009208
10,1260.65,0.61412,0.45306,0.96243,0.9681,0.96494,0.98928,0.88891,0.50335,0.31124,0.88142,0.009109,0.009109,0.009109
11,1386.84,0.60966,0.4459,0.96251,0.97678,0.96462,0.9893,0.89375,0.49384,0.30985,0.8701,0.00901,0.00901,0.00901
12,1513.52,0.59994,0.4344,0.95786,0.97233,0.96731,0.98962,0.89538,0.4832,0.3068,0.87675,0.008911,0.008911,0.008911
13,1639.4,0.58821,0.42674,0.95148,0.97372,0.97332,0.98988,0.8987,0.47703,0.3009,0.87924,0.008812,0.008812,0.008812
14,1764.91,0.58087,0.41754,0.94879,0.9713,0.96731,0.98972,0.90103,0.4754,0.29926,0.86853,0.008713,0.008713,0.008713
15,1890.75,0.57554,0.41131,0.94641,0.98141,0.97275,0.99153,0.90065,0.47517,0.27968,0.86078,0.008614,0.008614,0.008614
16,2017.93,0.57254,0.40347,0.94368,0.97619,0.97573,0.99089,0.9092,0.4592,0.27449,0.86273,0.008515,0.008515,0.008515
17,2145.46,0.56064,0.39453,0.94276,0.97171,0.97549,0.99046,0.90707,0.45491,0.2826,0.86696,0.008416,0.008416,0.008416
18,2271.92,0.55651,0.39194,0.93854,0.97069,0.97324,0.99111,0.9081,0.45431,0.2794,0.86293,0.008317,0.008317,0.008317
19,2398.13,0.55012,0.37917,0.93526,0.97773,0.97323,0.99184,0.91082,0.45492,0.26687,0.85452,0.008218,0.008218,0.008218
20,2525.28,0.54327,0.37763,0.93217,0.97715,0.97507,0.99185,0.91743,0.45009,0.25977,0.85628,0.008119,0.008119,0.008119
21,2652.61,0.54228,0.3767,0.9361,0.97894,0.97929,0.99187,0.91694,0.44234,0.26053,0.86651,0.00802,0.00802,0.00802
22,2782.31,0.53837,0.36983,0.9324,0.97751,0.97946,0.99188,0.92066,0.43288,0.25336,0.84661,0.007921,0.007921,0.007921
23,2913.37,0.52662,0.36089,0.92603,0.97863,0.97916,0.99247,0.92096,0.43492,0.25157,0.85763,0.007822,0.007822,0.007822
24,3043.43,0.52961,0.36244,0.92748,0.98345,0.97307,0.99011,0.91914,0.4274,0.2523,0.84915,0.007723,0.007723,0.007723
25,3173.45,0.52883,0.36148,0.92758,0.98062,0.97589,0.99213,0.92235,0.43285,0.25075,0.84873,0.007624,0.007624,0.007624
26,3303.51,0.517,0.34773,0.92038,0.98348,0.97413,0.99158,0.92333,0.42972,0.24118,0.84879,0.007525,0.007525,0.007525
27,3433.46,0.51903,0.35387,0.92345,0.98058,0.9738,0.99157,0.92223,0.42197,0.24235,0.84728,0.007426,0.007426,0.007426
28,3564.04,0.51097,0.34578,0.91767,0.97816,0.98096,0.99283,0.92584,0.42092,0.23265,0.84376,0.007327,0.007327,0.007327
29,3694.04,0.50889,0.34198,0.91432,0.97745,0.98082,0.99251,0.92812,0.41807,0.23155,0.84234,0.007228,0.007228,0.007228
30,3822.55,0.50956,0.33822,0.91614,0.98341,0.97719,0.99251,0.92784,0.42169,0.23453,0.84697,0.007129,0.007129,0.007129
31,3950.58,0.50029,0.33622,0.91005,0.9807,0.97737,0.99269,0.92893,0.40978,0.23044,0.83662,0.00703,0.00703,0.00703
32,4079.24,0.4993,0.33799,0.91112,0.97948,0.9791,0.99247,0.92821,0.41362,0.22761,0.83671,0.006931,0.006931,0.006931
33,4207.38,0.49573,0.32959,0.91141,0.9772,0.9809,0.99281,0.9294,0.40795,0.22509,0.83367,0.006832,0.006832,0.006832
34,4335.71,0.49344,0.3322,0.90857,0.9844,0.97841,0.9932,0.93037,0.40509,0.22238,0.83862,0.006733,0.006733,0.006733
35,4464.56,0.48849,0.32565,0.90314,0.97666,0.9826,0.99308,0.93208,0.40587,0.22223,0.83815,0.006634,0.006634,0.006634
36,4593.42,0.48656,0.32072,0.90891,0.98459,0.97779,0.99328,0.93395,0.40176,0.2197,0.83962,0.006535,0.006535,0.006535
37,4722.78,0.48377,0.32164,0.90929,0.97977,0.9816,0.99305,0.93332,0.39912,0.21929,0.84664,0.006436,0.006436,0.006436
38,4851.37,0.4849,0.31665,0.90856,0.98376,0.98016,0.99313,0.93532,0.39961,0.21432,0.83909,0.006337,0.006337,0.006337
39,4980.44,0.48164,0.31892,0.90519,0.98393,0.97908,0.99347,0.93319,0.4007,0.21546,0.84337,0.006238,0.006238,0.006238
40,5108.57,0.47549,0.31332,0.90485,0.98473,0.97824,0.99341,0.93496,0.40052,0.21087,0.83967,0.006139,0.006139,0.006139
41,5235.59,0.47221,0.30476,0.9013,0.98277,0.98136,0.9932,0.93654,0.39453,0.20956,0.83794,0.00604,0.00604,0.00604
42,5362.52,0.47516,0.3108,0.90386,0.98021,0.98276,0.99334,0.93543,0.39628,0.20985,0.83858,0.005941,0.005941,0.005941
43,5490.14,0.46894,0.30909,0.90208,0.98716,0.9757,0.99348,0.93622,0.39545,0.20754,0.8457,0.005842,0.005842,0.005842
44,5617.25,0.46846,0.30874,0.9027,0.98609,0.97725,0.9935,0.93742,0.39196,0.20932,0.84306,0.005743,0.005743,0.005743
45,5745.02,0.46154,0.30092,0.89859,0.98345,0.97712,0.99307,0.93899,0.38763,0.20856,0.83549,0.005644,0.005644,0.005644
46,5871.17,0.46714,0.30429,0.90094,0.98323,0.97963,0.99326,0.93999,0.38813,0.20713,0.83908,0.005545,0.005545,0.005545
47,5996.42,0.46357,0.30051,0.89484,0.98433,0.97685,0.99317,0.93945,0.38856,0.20768,0.82925,0.005446,0.005446,0.005446
48,6122.01,0.45843,0.29842,0.89647,0.9771,0.98619,0.99324,0.94149,0.38413,0.20436,0.83401,0.005347,0.005347,0.005347
49,6247.28,0.45722,0.29712,0.89858,0.98349,0.97825,0.99333,0.94129,0.38226,0.20453,0.83447,0.005248,0.005248,0.005248
50,6372.95,0.45076,0.28956,0.89339,0.98205,0.97941,0.99348,0.94204,0.38165,0.20231,0.83272,0.005149,0.005149,0.005149
51,6498.51,0.45044,0.29277,0.89417,0.98021,0.98303,0.99337,0.94137,0.3817,0.20228,0.83441,0.00505,0.00505,0.00505
52,6623.57,0.44859,0.28936,0.89487,0.98415,0.98041,0.99342,0.94225,0.38228,0.19977,0.83597,0.004951,0.004951,0.004951
53,6749.41,0.44416,0.28942,0.89067,0.983,0.98455,0.99335,0.94177,0.38345,0.19899,0.83265,0.004852,0.004852,0.004852
54,6874.92,0.44625,0.28683,0.88856,0.98415,0.98278,0.99326,0.94247,0.38122,0.19926,0.82705,0.004753,0.004753,0.004753
55,7000.74,0.43828,0.28177,0.88756,0.98247,0.98269,0.99324,0.94285,0.38008,0.19867,0.82875,0.004654,0.004654,0.004654
56,7126.62,0.43944,0.2778,0.88567,0.98432,0.98076,0.99339,0.94283,0.37968,0.19844,0.82714,0.004555,0.004555,0.004555
57,7252.63,0.43804,0.27902,0.88739,0.9835,0.98079,0.99357,0.94373,0.37809,0.19669,0.82755,0.004456,0.004456,0.004456
