순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
1,2023-01-01,Flair Airlines,Boeing 737 MAX 8,STD,154,,"Flair Airlines 소속 Boeing 737 MAX 8 항공기가 캐나다 Kitchener-Region of Waterloo 공항에 수화물을 싣던 중 지상조업차량과 충돌해 파손, 인명피해 없음."
2,2023-01-02,"Endeavor Air, opf Delta Connection",Bombardier CRJ-900LR,TXI,,,"Endeavor Air 소속 Bombardier CRJ-900LR 항공기가 미국 New York-JFK 공항에서 주기장 정체로 유도로에 정지 중이었으나, 착륙 후 유도로를 따라 이동 중이던 ITA항공 A330-202 기종의 윙렛과 CRJ-990LR 꼬리날개가 충돌하여 양 항공기가 손상되었으나 인명피해 없음."
3,2023-01-02,Transavia Airlines,Boeing 737-8K2 (WL),STD,,,"Transavia Airlines 소속 Boeing 737-8K2 (WL) 항공기가 네덜란드 Rotterdam/The Hague 공항에 주기 중 지상조업차량과 충돌, 인명피해 없음."
4,2023-01-02,Eagle Jet 300 LLC,Embraer EMB-505 Phenom 300,TOF,4,1,"Eagle Jet 300 LLC 소속 Embraer EMB-505 Phenom 300 항공기가 미국 Provo 공항에서 이륙 중 추락하여 전소, 조종사 1명 사망, 조종사 1명 중상 및 승객 2명은 경상을 입음."
5,2023-01-03,"Amerijet International, lst Maersk Air Cargo",Boeing 767-300F,ICL,3,,"Maersk Air Cargo 소속 Boeing 767-300F 항공기가 대한민국 인천공항에서 이륙 후 초기상승 중 엔진 고장으로 화재 발생, 인천으로 회항하여 착륙하였으며 인명피해 없음."
6,2023-01-07,JetStar Japan,Airbus A320-232 (WL),ENR,142,,"JetStar Japan 소속 Airbus A320-232 (WL) 항공기가 일본 Tokyo/Narita 공항에서 이륙하여 Fukuoka 공항으로 향하던 중 폭탄 위협을 받고 Nagoya/Chubu Centrair 공항으로 회항하여 착륙, 대피 과정에서 승객 5명이 찰과상을 입었으나 폭발물은 발견되지 않음. "
7,2023-01-09,Naryan-Mar Air Enterprise,Antonov An-2R,ENR,12,2,Naryan-Mar Air Enterprise 소속 Antonov An-2R 항공기가 심한 결빙 및 저시정 상태로 인해 러시아 Karatayka 북서쪽 10km 지점에 추락하여 탑승자 전원 사망함.
8,2023-01-13,Air Master AP,Cessna 550 Citation II,LDG,2,,"Air Master AP 소속 Cessna 550 Citation II 항공기가 베네수엘라 Charallave-Oscar Machado Zuloaga 공항에 착륙 후 역추력장치 사용 중 갑작스런 요(Yaw)가 발생하여 활주로를 이탈하였으나, 인명피해 없음."
9,2023-01-15,Yeti Airlines,ATR 72-500 (72-212A),APR,72,72,Yeti Airlines 소속 ATR 72-500 (72-212A) 항공기가 네팔 Pokhara 공항에 최종접근 중 인적오류 등의 이유로 추락하여 탑승자 전원 사망함.
10,2023-01-16,Kamaka Air,Cessna 208B Super Cargomaster,APR,2,,"Kamaka Air 소속 Cessna 208B Super Cargomaster 항공기가 미국 Molokai/Kaunakakai 공항으로 야간에 접근 중 시정이 제한되는 조건에서 선회 접근하는 과정에서 적절한 고도를 유지하지 못해 지형과 충돌, 인명피해 없음."
11,2023-01-18,Lynch Flying Service Inc,Beechcraft B200 King Air,APR,,,"Lynch Flying Service Inc 소속 Beechcraft B200 King Air 항공기가 미국 Poplar Municipal 공항에 접근 중 적절한 비행속도와 강하율을 유지하지 못해 활주로 시단에 미치지 못하고 지면에 충돌해 우측 날개가 크게 파손되었으나, 인명피해 없음."
12,2023-01-24,BoneDoc Aviation LLC,Cessna 551 Citation II/SP,TXI,7,,"BoneDoc Aviation LLC 소속 Cessna 551 Citation II/SP 항공기가 미국 Joplin Regional 공항에서 지상이동 중 브레이크 고장으로 FBO 건물과 충돌하였으나, 인명피해 없음."
13,2023-01-25,All Nippon Airways - ANA,Boeing 767-381ER (BCF),TXI,2,,"All Nippon Airways 소속 Boeing 767-381ER (BCF) 항공기가 일본 Tokyo/Narita 공항에서 화물기 주기장에서 선회 중 강풍 및 얼음으로 인해 미끄러지면서 지상조업장비와 충돌하여 동체에 15cm 가량의 구멍이 생겼으나, 인명피해 없음. "
14,2023-01-27,Chartright Air,Cessna 560 Citation Encore,ENR,5,,"Chartright Air 소속 Cessna 560 Citation Encore 항공기가 캐나다 Toronto 남쪽 50NM 지점에서 좌측 엔진 덮개가 분리되면서 항공기 제어를 상실하였으나 미국 Buffalo/Niagara 공항으로 회항하여 착륙, 인명피해 없음."
15,2023-02-05,Hera Flight,Learjet 60,LDG,2,,"Hera Flight 소속 Learjet 60 항공기가 바하마 North Eleuthera 공항에 접근 중 인적오류 등의 이유로 불안정한 접근을 수행하여 하드랜딩으로 항공기 손상을 입었으나, 인명피해 없음. "
16,2023-02-06,Coulson Aviation,Boeing 737-3H4 (WL),MNV,2,,"Coulson Aviation 소속 Boeing 737-3H4 (WL) 항공기가 호주 Fitzgerald River 국립공원에서 소방임무를 수행 중 지형과 충돌하여 전소하였으나, 인명피해 없음."
17,2023-02-08,"Mag Aviation, LLC",Cirrus SF50 Vision Jet G2,LDG,2,,"Mag Aviation, LLC 소속 Cirrus SF50 Vision Jet G2 항공기가 미국 Waukesha 공항에서 이륙 후 지속되는 소음으로 이륙공항으로 회항하여 착륙 중 활주로를 이탈하여 항공기가 손상되었으나, 인명피해 없음. 조종사가 비행 전 점검에서 받음각(AOA) 센서 커버를 제거하지 않은 것으로 드러남."
18,2023-02-10,Delta Air Lines,Boeing 767-332ER (WL),ICL,221,,"Delta Air Lines 소속 BBoeing 767-332ER (WL) 항공기가 영국 Edinburgh 공항에서 이륙 후 초기상승 중 엔진 고장으로 Prestwick 공항으로 회항 후 착륙, 인명피해 없음."
19,2023-02-10,SkyDive Mexico,Cessna 208B Super Cargomaster,UNK,2,,SkyDive Mexico 소속 Cessna 208B Super Cargomaster 항공기가 엔진 고장으로 멕시코 San Jose Vista Hermosa 인근 잔디밭에 비상착륙하여 조종사 2명이 부상을 입음. 
20,2023-02-10,Helifix Operation,Cessna 208B Supervan 900,LDG,4,,"Helifix Operation 소속 Cessna 208B Supervan 900 항공기가 파푸아뉴기니 Eliptamin 공항에 허용한계를 초과한 속도로 착륙 후 활주로를 이탈하여 노즈 랜딩기어가 붕괴되었으나, 인명피해 없음."
21,2023-02-11,1982-047 LLC,Learjet 55,LDG,6,,"1982-047 LLC 소속 Learjet 55 항공기가 미국 Rochester-Greater Rochester 공항에 착륙 중 이설시단에 접지 후 튕겨나갔다가 활주로로 접지하면서 항공기가 손상되었으나, 인명피해 없음."
22,2023-02-16,Aeromas,Cessna 208 Cargomaster,ENR,2,,"Aeromas 소속 Airbus Cessna 208 Cargomaster 항공기가 아르헨티나 Berisso 인근에서 야간에 공항을 찾지 못하고 도로에 착륙을 시도하던 중 전봇대와 충돌하여 전소하였으나, 인명피해 없음."
23,2023-02-17,Haedo Air LLC,Honda HA-420 HondaJet,LDG,6,,"Haedo Air LLC 소속 Honda HA-420 HondaJet 항공기가 미국 Houston-William P. Hobby 공항에 착륙 후 활주로를 벗어나 우측 날개가 심하게 손상되었으나, 인명피해 없음."
24,2023-02-17,CTEH,Beechcraft B200 Super King Air,ICL,5,5,CTEH 소속 Beechcraft B200 Super King Air 항공기가 미국 Hillary Clinton National 공항에서 이륙 후 초기상승 중 지형지물에 충돌하여 탑승자 5명 전원 사망함. 
25,2023-02-28,ZAM Air Service,Cessna 208B Grand Caravan,ENR,2,2,"ZAM Air Service 소속 Cessna 208B Grand Caravan 항공기가 캐나다 Nakina지역에서 실종되었다가 4일 후인 3월 4일에 잔해 발견, 탑승자 2명 전원 사망함."
