순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
47,2023-06-04,Encore Motors of Melbourne Inc,Cessna 560 Citation V,ENR,4,4,Encore Motors of Melbourne Inc 소속 Cessna 560 Citation V 항공기가 미국 Montebello 인근에서 추락하여 탑승자 전원 사망함.
48,2023-06-05,WestJet,Boeing 737-8CT (WL),STD,150,,"WestJet 소속 Boeing 737-8CT (WL) 항공기가 캐나다 Calgary 공항에서 지상조업차량과 충돌하여 하부 동체와 레이돔에 손상을 입었으며, 인명피해 없음."
49,2023-06-06,Premier LJ40 Inc,Dassault Falcon 10,LDG,5,,"Premier LJ40 Inc 소속 Dassault Falcon 10 항공기가 미국 Panama City-Northwest Florida Beaches 공항에 착륙 중 브레이크 및 역추진 장치의 오작동으로 활주로를 이탈하여 항공기가 크게 파손되었으나, 인명피해 없음."
50,2023-06-15,Scoot,Boeing 787-9 Dreamliner,LDG,,,Scoot 소속 Boeing 787-9 Dreamliner 항공기가 대만 Taiwan Taoyuan 공항에 착륙하여 게이트에 도착한 후 인천공항에서 이륙 중에 노즈 랜딩기어의 좌측 타이어가 손실된 것을 발견하였음.
51,2023-06-21,Brussels Airlines,Airbus A320-214,TXI,181,,"Brussels Airlines 소속 Airbus A320-214 항공기가 리투아니아 Vilnius 공항에서 활주로에 진입 중 메인 랜딩기어의 좌측 타이어가 파열되면서 나온 부품들로 인해 랜딩기어 등이 손상되었으나, 인명피해 없음."
52,2023-06-23,SAM Air,Cessna 208 Caravan 675,ENR,6,6,SAM Air 소속 Cessna 208 Caravan 675 항공기가 인도네시아 Elelim 서쪽 12km 지점에서 능선에 충돌하여 탑승자 전원 사망함.
53,2023-06-24,Cathay Pacific,Boeing 777-367ER,TOF,310,,"Cathay Pacific 소속 Boeing 777-367ER 항공기가 홍콩 Hong Kong-Chek Lap Kok 공항에서 이륙 단계에서 이륙포기 후 주기장으로 돌아와 탑승교 연결을 기다리던 중 메인 랜딩기어 좌측에 화재가 발생, 대피과정에서 승객 11명이 피해를 입었음."
54,2023-06-28,Delta Air Lines,Boeing 717-2BD,LDG,104,,"Delta Air Lines 소속 Boeing 717-2BD 항공기가 미국 Charlotte-Douglas 공항에 착륙 중 노즈 랜딩기어가 펴지지 않아 상당한 손상을 입었으나, 인명피해 없음. "
55,2023-07-03,Arne Aviation LLC,Cessna 208B Supervan 900,LDG,1,,"Arne Aviation LLC 소속 Cessna 208B Supervan 900 항공기가 미국 Suffolk Executive 공항에 착륙 중 플레어가 부족하여 노즈 랜딩기어가 붕괴되어 활주로를 이탈하였으나, 인명피해 없음."
56,2023-07-06,Aircompany Parma,Antonov An-2R,ENR,3,,"Aircompany Parma 소속 Antonov An-2R 항공기가 러시아 Kirov 지역 근처에서 엔진 고장으로 비상착륙 도중 나무 여러 그루와 충돌하였으나, 인명피해 없음."
57,2023-07-08,Prestige Worldwide Flights LLC,Cessna 550 Citation II,APR,6,6,Prestige Worldwide Flights LLC 소속 Cessna 550 Citation II 항공기가 미국 Murrieta/Temecula-French Valley 공항에서 저시정으로 인한 복행 후 두 번째 접근 중 활주로를 0.2km 앞둔 지점에서 추락하여 탑승자 전원 사망함. 
58,2023-07-11,Halla Airlines,Embraer EMB-120 Brasilia,LDG,34,,Halla Airlines 소속 Embraer EMB-120 Brasilia 항공기가 소말리아  Mogadishu Aden Adde 공항에 착륙 중 윈드시어로 인해 활주로를 이탈하여 탑승자 2명이 부상을 입음.
59,2023-07-17,Skydive Warsaw,Cessna 208B Grand Caravan,TOF,3,6,Skydive Warsaw 소속 Cessna 208B Grand Caravan 항공기가 폴란드 Chrcynno 비행장에서 터치 앤 고 훈련비행 중 격납고에 추락하여 탑승자 3명 중 1명과 지상에 있던 5명이 사망함.
